,시도,시군,업종,업소명,별점,방문자 리뷰수,블로그 리뷰수,"""음식이 맛있어요""","""가성비가 좋아요""","""친절해요""","""양이 많아요""","""재료가 신선해요""","""특별한 메뉴가 있어요""","""매장이 넓어요""","""매장이 청결해요""","""혼밥하기 좋아요""","""화장실이 깨끗해요""","""인테리어가 멋져요""","""단체모임 하기 좋아요""","""주차하기 편해요""","""뷰가 좋아요""","""특별한 날 가기 좋아요""","""좌석이 편해요""","""환기가 잘 돼요""","""디저트가 맛있어요""","""커피가 맛있어요""","""음료가 맛있어요""","""대화하기 좋아요""","""사진이 잘 나와요""","""집중하기 좋아요""","""반찬이 잘 나와요""","""포장이 깔끔해요""","""현지 맛에 가까워요""","""메뉴 구성이 알차요""","""고기 질이 좋아요""","""직접 잘 구워줘요""","""깨끗해요""","""조용히 쉬기 좋아요""","""대중교통이 편해요""","""냉난방이 잘돼요""","""바비큐 해먹기 좋아요 ""","""반려동물과 가기 좋아요""","""아늑해요""","""음식이 빨리 나와요""","""차분한 분위기에요""","""술이 다양해요""","""빵이 맛있어요""","""건강한 맛이에요""","""야외 공간이 멋져요""","""컨셉이 독특해요""","""아이와 가기 좋아요""","""혼술하기 좋아요""","""잡내가 적어요""","""향신료가 강하지 않아요""","""오래 머무르기 좋아요""","""화장실이 잘 되어있어요""","""코스요리가 알차요""","""기본 안주가 좋아요"""
110,제주도,제주시,한식_면류,신해바라기제2호점,4.01,97,53,23,9,10,1,1,8,3,2,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,제주도,제주시,한식_면류,남현순대,4.03,30,9,10,1,4,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,제주도,제주시,한식_일반,속초집,3.72,24,28,9,4,1,2,3,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,제주도,제주시,한식_면류,도원식당,,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,제주도,제주시,한식_일반,추자바다숯불갈비,4.5,22,3,8,2,6,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,제주도,제주시,한식_일반,비자림길,4.57,459,298,199,99,85,63,78,60,19,53,5,29,36,7,53,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,제주도,제주시,한식_면류,면사무소,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,제주도,서귀포시,중식,영춘반점,4.33,163,74,42,20,16,3,6,6,1,3,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,제주도,서귀포시,한식_일반,신영음식점,,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,제주도,서귀포시,한식_일반,뽕뽕식당,4.4,114,42,30,28,17,10,8,7,10,1,12,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,제주도,서귀포시,한식_일반,한아름식당,4.54,469,199,195,159,96,65,107,27,8,5,2,4,0,12,35,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,제주도,서귀포시,한식_일반,고성장터국밥,4.44,332,178,130,86,39,36,20,19,18,7,37,4,0,3,14,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,제주도,서귀포시,일식,옛날어전,,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,제주도,서귀포시,한식_면류,바당국수,4.32,744,312,274,103,83,125,56,35,61,35,58,9,5,13,63,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,제주도,제주시,한식_일반,한라산도야지남사골,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,제주도,제주시,일식,푸른바다회포차,,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,제주도,제주시,한식_육류,뽈살집,4.53,705,440,294,108,115,57,114,150,14,33,2,4,5,13,52,1,10,0,0,0,0,0,0,0,0,3,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,제주도,제주시,한식_육류,금순이네,4.17,15,2,8,2,3,1,1,3,2,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,제주도,제주시,한식_일반,공주네국수,4.28,239,143,80,43,39,42,14,7,2,12,16,1,1,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
129,제주도,제주시,한식_면류,24시국수회관,4.36,480,225,177,111,65,75,32,24,13,15,33,4,2,11,19,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,제주도,제주시,한식_일반,태연종합정육식당,4.46,300,"1,125",152,106,90,57,63,34,35,16,4,7,2,53,4,0,6,0,0,0,0,0,4,0,0,1,0,1,0,32,1,0,0,0,0,0,0,3,21,0,0,0,0,0,2,0,0,0,0,1,0,0,0
131,제주도,제주시,한식_일반,명가돈까스,4.6,52,4,19,10,5,4,11,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,제주도,제주시,한식_일반,요메기섬현재식당,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,제주도,제주시,한식_일반,테왁,4.66,176,75,64,13,26,9,38,25,2,27,5,10,18,2,5,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,제주도,서귀포시,한식_일반,한동네,4.69,171,82,68,9,39,17,18,17,17,17,5,3,2,10,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,제주도,서귀포시,한식_육류,새서울두루치기,4.36,299,137,108,94,51,36,41,12,7,5,20,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,제주도,제주시,한식_육류,도남해돈가,4.27,29,8,11,6,6,5,8,2,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,제주도,제주시,한식_면류,다랑시,4.21,38,12,17,13,8,7,4,1,2,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
