식당(ID),식당명,지역명,어워드정보설명,(RTI)지수,온라인화진행여부,수용태세지수,인기도,트립어드바이저평점,씨트립평점,네이버평점,식당상태
8800,신시골집,전라북도 전주시,,0.09,Y,0.15,0.04,,,4.04,운영중
80579,아웃닭 전북대점,전라북도 전주시,,0.1,Y,0.16,0.33,,,4.48,운영중
4124,대성회관,전라북도 전주시,,0.1,Y,0.1,0.04,,,4.3,운영중
80583,고기데이,전라북도 전주시,,0.1,Y,0.17,0.12,,,4.35,운영중
80584,엡솔루트지티 ,전라북도 전주시,,0.1,Y,0.1,0.1,,,4.39,운영중
80592,금암동부대찌개 전북대점,전라북도 전주시,,0.1,Y,0.1,0.14,,,4.39,운영중
80594,TEAM,전라북도 전주시,,0.1,Y,0.13,0.33,,,4.28,운영중
80596,들턱,전라북도 전주시,,0.1,Y,0.13,0.33,,,4.54,운영중
80598,비어댐,전라북도 전주시,,0.09,Y,0.12,0.26,,,4.17,운영중
9727,더플라잉팬,,,,N,0.07,,,,,미확인
82034,오빠담치킨,,,,N,0.07,,,,,폐업
82070,고메드,,,,N,0.09,,,,,미확인
85812,고래술상,,,,N,0.07,,,,,미확인
86430,삼총사분식,,,,N,0.08,,,,,운영중
92276,라리코,,,,N,0.08,,,,5,미확인
92398,탕화쿵푸마라탕 객사점,전라북도 전주시,,0.1,Y,0.15,0.33,,,4.34,운영중
92400,황산항아리수제비,전라북도 전주시,,0.09,Y,0.23,0.26,,,4.18,운영중
92401,시골촌,전라북도 전주시,,0.1,Y,0.1,0.33,,,4.44,운영중
92402,명가,전라북도 전주시,,0.09,Y,0.26,0.01,,,4.03,운영중
92405,수정삼겹,전라북도 전주시,,0.1,Y,0.09,0.33,,,4.33,운영중
9983,참치라이더 전주도청점,,,,N,0.1,,,,0.33,폐업
92409,치킨신드롬 중화산점,전라북도 전주시,,0.1,Y,0.11,0.01,,,4.5,운영중
92419,태하식당,전라북도 전주시,,0.09,Y,0.1,0.03,,,4.23,운영중
92425,김영희 강남 동태찜,전라북도 전주시,,0.1,Y,0.09,,,,4.43,운영중
92429,천하태평,전라북도 전주시,,0.09,Y,0.08,0.23,,,4.2,운영중
10433,"또와, 롱",,,,N,0.09,,,,2.89,운영중
92439,비사벌반점,전라북도 전주시,,0.1,Y,0.24,0.07,,,4.28,운영중
92446,별미집,전라북도 전주시,,0.1,Y,0.23,0.06,,,4.36,운영중
10451,전주초밥,전라북도 전주시,안심식당,0.1,Y,0.23,0.02,,,4.36,운영중
4465,엘디아,,,,N,0.08,,,,,폐업
92464,콩뿌리콩나물국밥,전라북도 전주시,,0.09,Y,0.28,0.18,,,4.1,운영중
10509,과일정원,,,,N,0.04,,,,,운영중
92472,홍콩반점0410 전북대점,전라북도 전주시,,0.1,Y,0.1,0.33,,,4.36,운영중
92477,돈페플러스,전라북도 전주시,,0.09,Y,0.11,0.07,,,4.01,운영중
10583,커피꽃,,,,N,0.09,,,,,운영중
92480,미스터보드,전라북도 전주시,,0.09,Y,0.11,0.02,,,4.25,운영중
92482,알쌈닭불고기 전북대점,전라북도 전주시,,0.1,Y,0.1,0.33,,,4.49,운영중
103088,카페온에어,,,,N,0.07,,,,,미확인
104349,쪼오꼬 객사점,전라북도 전주시,,0.1,Y,0.13,0.33,,,4.44,운영중
104373,다미가갈비탕,전라북도 전주시,,0.1,Y,0.07,0.01,,,4.29,운영중
104379,독도막회,전라북도 전주시,,0.1,Y,0.08,0.07,,,4.38,운영중
104383,태풍화,전라북도 전주시,,0.09,Y,0.1,0.32,,,4.2,운영중
104385,천지주가막걸리,전라북도 전주시,,0.09,Y,0.08,0.14,,,4.13,운영중
104395,명성불타는쟁반짜장,전라북도 전주시,,0.1,Y,0.1,0.02,,,4.53,운영중
104397,전주콩나루전국본점,전라북도 전주시,,0.1,Y,0.13,0.33,,,4.33,운영중
